id,scientific_name,common_name,lf_code,nursery_available
385,Poa tenera,Slender Tussock-grass,MNG,
386,Podolepis canescens,Grey Podolepis,MH,
387,Pogonolepis  muelleriana,Stiff Cup-flower,SH,
388,Pogonolepis muelleriana,Stiff Cup-flower,SH,
389,Polystichum proliferum,Mother  Shield-fern,GF,
390,Pomaderris aspera,Hazel Pomaderris,T,
391,Pomaderris velutina,Velvet Pomaderris,MS,
392,Poranthera  microphylla,Small Poranthera,MH,
393,Poranthera microphylla,Small  Poranthera,SH,
394,Prostanthera lasianthos,Victorian  Christmas-bush,MS,
395,Pteridium esculentum,Austral  Bracken,GF,
396,Pterostylis decurva,Summer Greenhood,MH,
397,Pterostylis longifolia s.l.,Tall Greenhood,LH,
398,Pterostylis nana,Dwarf Greenhood,MH,
399,Ptilotus  macrocephalus,Feather Heads,MH,
400,Ptilotus exaltatus,Mulla Mulla,LH,
401,Ptilotus macrocephalus,Feather Heads,MH,
402,Ptilotus spathulatus f. spathulatus,Pussy Tails,SH,
403,Pultenaea daphnoides,Large-leaf Bush-pea,MS,
404,Pultenaea gunnii,Golden Bush-pea,MS,
405,Pultenaea gunnii ssp. gunnii,Golden  Bush-pea,SS,
406,Pultenaea humilis,Dwarf  Bush-pea,SS,
407,Pultenaea juniperina s.l.,Prickly Bush-pea,MS,
408,Pultenaea largiflorens,Twiggy  Bush-pea,SS,
409,Pultenaea pedunculata,Matted  Bush-pea,PS,
410,Pultenaea prostrata,Silky Bush-pea,SS,
411,Ranunculus plebeius s.l.,Forest/Hairy Buttercup,MH,
412,Ranunculus spp.,Buttercup,MH,
413,Rhodanthe stuartiana,Clay Sunray,MH,
414,Rubus parvifolius,Small-leaf Bramble,SS,
415,Rumex brownii,Slender Dock,MH,
416,Rumex dumosus,Wiry Dock,LH,
417,Rumex spp.,Dock,LH,
418,Schoenus apogon,Common Bog-sedge）,MTG,
419,Schoenus apogon Hardenbergia violacea,Common Bog-sedge Purple Coral-pea,MTG SC,
420,Schoenus breviculmis,Matted Bog-sedge,TTG,
421,Scleranthus diander,Tufted Knawel,SH,
422,Scleranthus diander Themeda triandra,Tufted Knawel Kangaroo Grass,SH MTG,
423,Sclerochlamys brachyptera,Short-wing Saltbush,PS,
424,Sclerolaena diacantha,Grey Copperburr,SS,
425,Sclerolaena muricata,Five-spined Bassia,SS,
426,Sclerolaena napiformis,Turnip Copperburr,SS,
427,Sclerolaena tricuspis,Three-spined Bassia,SS,
428,Selaginella dominii,Smooth Selaginella,SH,
429,Senecio  quadridentatus,Cottony Fireweed,LH,
430,Senecio glomeratus,Annual  Fireweed,LH,
431,Senecio glossanthus,Slender Groundsel,MH,
432,Senecio gunnii,Mountain Fireweed,LH,
433,Senecio hispidulus,Rough  Fireweed,LH,
434,Senecio linearifolius,Fireweed  Groundsel,LH,
435,Senecio minimus,Shrubby  Fireweed,LH,
436,Senecio odoratus var. odoratus,Scented  Groundsel,LH,
437,Senecio pinnatifolius,Variable Groundsel,MH,
438,Senecio quadridentatus,Cotton  Fireweed,LH,
439,Senecio tenuiflorus,Slender  Fireweed,LH,
440,Sida corrugata,Variable Sida,MH,
441,Sigesbeckia orientalis ssp. orientalis,Indian Weed,LH,
442,Siloxerus multiflorus,Small Wrinklewort,SH,
443,Solenogyne dominii,Smooth Solenogyne,SH,
444,Spyridium parvifolium,Dusty Miller,MS,
445,Stellaria pungens,Prickly  Starwort,MH,
446,Stelligera endecaspinis,Starfruit Bassia,SS,
447,Stuartina muelleri,Spoon Cudweed,MH,
448,Stylidium graminifolium s.l.,Grass Trigger-plant,MTG,
449,Stylidium graminifolium s.l. Carex breviculmis,Grass Trigger-plant Common Grass-sedge,MTG MTG,
450,Styphelia adscendens,Golden Heath,PS,
451,Templetonia stenophylla,Leafy Templetonia,SS,
452,Tetrarrhena distichophylla,Hairy  Rice-grass,MNG,
453,Tetrarrhena juncea,Forest  Wire-grass,LNG,
454,Tetratheca ciliata,Pink-bells,SS,
455,Tetratheca pilosa,Hairy Pink-bells,SS,
456,Thelymitra pauciflora s.l.,Slender Sun-orchid,MNG,
457,Themeda triandra,Kangaroo Grass,MTG,
458,Thysanotus patersonii,Twining  Fringe-lily,SC,
459,Tricoryne elatior,Yellow Rush-lily,MTG,
460,Triodia scariosa,Porcupine Grass,HG,
461,Triptilodiscus pygmaeus,Common Sunray,SH,
462,Tylophora barbata,Bearded Tylophora,SC,
463,Veronica calycina,Hairy Speedwell,MH,
464,Veronica gracilis,Slender Speedwell,MH,
465,Veronica plebeia,Trailing Speedwell,MH,
466,Viola cleistogamoides,Hidden Violet,SH,
467,Viola hederacea sensu Entwisle (1996),Ivy-leaf  Violet,MH,
468,Viola hederacea sensu Willis (1972),Ivy-leaf  Violet,MH,
469,Vittadinia cuneata,Fuzzy New Holland Daisy,MH,
470,Vittadinia gracilis,Woolly New Holland Daisy,MH,
471,Wahlenbergia communis s.l.,Tufted Bluebell,LH,
472,Wahlenbergia gracilis s.l.,Sprawling Bluebell,LH,
473,Wahlenbergia gracilis s.s.,Sprawling  Bluebell,LH,
474,Wahlenbergia gymnoclada,Naked  Bluebell,LH,
475,Wahlenbergia luteola,Bronze Bluebell,LH,
476,Wahlenbergia spp.,Bluebell,LH,
477,Wahlenbergia stricta,Tall Bluebell,LH,
478,Whalleya proluta,Rigid Panic,MTG,
479,Wurmbea dioica,Common Early Nancy,MNG,
480,Xanthorrhoea australis,Austral  Grass-tree,LTG,
481,Xanthorrhoea minor ssp. lutea,Small  Grass-tree,LTG,
482,Xanthosia dissecta s.l.,Cut-leaf  Xanthosia,PS,
483,Xanthosia pusilla spp. agg.,Heath  Xanthosia,PS,
484,Xerochrysum bracteatum,Golden Everlasting,LH,
485,Xerochrysum viscosum,Shiny  Everlasting,LH,
486,r,nan,nan,
