id,name,commonname,lf,match_strategy,pollination_syndrome,pollination_system,flower_colour,flowering_time,flower_diameter,fruit_type,fruit_colour,fruit_fleshiness,fruiting_time,dispersal_syndrome,dispersers,plant_growth_form,plant_height,woodiness,leaf_phenology
86,Billardiera scandens,Common Apple-berry,SC,exact_taxon,"insect, insect vertebrate",biotic_unspecialised,blue_purple green white_cream yellow_orange,"nnnnnnnnyyyn, nnnnnnnnyyyy, ynnnnnnnyyyy, yynnnnnnnnyy, yynnnnnnyyyy",,berry,"green, green yellow",fleshy,,"endozoochory, epizoochory, zoochory","birds, vertebrates","climber, climber_woody, climber_woody shrub, herb, shrub",0.5,"herbaceous, woody",
87,Billardiera scandens var. scandens,Common  Apple-berry,SC,via_original_name,,,,,,,,,,,,,,,
88,Blechnum  cartilagineum,Gristle Fern,GF,species_level_fallback,abiotic,abiotic,,,,,,,,anemochory,"passive, wind","fern, herb",1.35,,
89,Blechnum nudum,Fishbone  Water-fern,GF,exact_taxon,abiotic,abiotic,,,,,,,,anemochory,wind,"fern, herb",0.6,,
90,Blechnum penna-marina ssp. alpina,Alpine Water-fern,GF,species_level_fallback,,,,,,,,,,,,fern,,,
91,Boronia nana,Dwarf Boronia,PS,exact_taxon,insect,,pink white_cream,"nnnnnnnnyyyn, ynnnnnnnnyyy, yynnnnnnyyyy",,"follicle, mericarp",,dry,yyyynnnnnnyy,"myrmecochory, zoochory","ants, invertebrates","shrub, subshrub",0.625,woody,evergreen
92,Boronia pilosa,Hairy Boronia,SS,exact_taxon,insect,,,"ynnnnnnnyyyy, yynnnnnyyyyy",,"follicle, mericarp",,dry,yynnnnnnnnyy,"myrmecochory, zoochory","ants, invertebrates",shrub,1.25,woody,evergreen
93,Bossiaea prostrata,Creeping Bossiaea,PS,exact_taxon,insect,biotic_unspecialised,blue_purple pink red_brown yellow_orange,"nnnnnnnnyynn, nnnnnnnnyyyn",,legume,,dry,,"barochory myrmecochory, myrmecochory, undefined, zoochory","ants, ants passive, invertebrates","climber, shrub, shrub subshrub, subshrub",0.2,woody,
94,Bothriochloa macra,Red-leg Grass,MTG,exact_taxon,"abiotic, self wind, wind",abiotic,white_cream,"yynnnnnnnnny, yyyynnnnnnny",,caryopsis,,dry,,"anemochory, epizoochory, zoochory","mammals, wind","graminoid, graminoid herb, graminoid_not_tussock, herb, tussock",0.8,,
95,Brachychiton populneus ssp. populneus,Kurrajong,T,species_level_fallback,"bird insect, insect",,white_cream,"nnnnnnnnnyyy, ynnnnnnnnnyy, ynnnnnnnnyyy",,"capsule, follicle",,dry,nnnnnnyyyynn,"endozoochory, epizoochory","birds, vertebrates",tree,20.0,woody,evergreen
